City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Matara,LK,2021-09-21 16:14:09,5.9485,80.5353,78.33,88,9,7.94
151,Upernavik,GL,2021-09-21 16:14:10,72.7868,-56.1549,23.68,54,13,5.3
152,Laguna,US,2021-09-21 16:10:35,38.421,-121.4238,81.09,52,0,1.01
153,Ostrovskoye,RU,2021-09-21 16:14:10,57.8057,42.2433,45.95,59,100,11.39
154,Mountain Home,US,2021-09-21 16:14:10,43.133,-115.6912,55.94,35,0,8.32
155,Bathsheba,BB,2021-09-21 16:14:11,13.2167,-59.5167,86.09,63,34,13.51
156,Cabo San Lucas,MX,2021-09-21 16:12:16,22.8909,-109.9124,85.6,81,94,1.01
157,Avera,US,2021-09-21 16:14:11,33.194,-82.5271,79.75,87,98,4.59
158,Aksay,RU,2021-09-21 16:14:12,47.26,39.87,58.08,74,95,7.29
159,Kristiinankaupunki,FI,2021-09-21 16:14:12,62.2743,21.376,44.8,70,100,3.13
160,Broome,US,2021-09-21 16:14:12,42.2506,-75.833,71.82,63,85,3.0
161,Aitape,PG,2021-09-21 16:14:13,-3.1374,142.3475,78.19,88,100,4.63
162,Udachnyy,RU,2021-09-21 16:14:13,66.4167,112.4,39.83,65,100,7.81
163,Mayumba,GA,2021-09-21 16:14:13,-3.432,10.6554,76.57,82,100,7.65
164,Coos Bay,US,2021-09-21 16:14:14,43.3665,-124.2179,63.99,73,8,3.33
165,Torbay,CA,2021-09-21 16:14:14,47.6666,-52.7314,62.89,53,75,7.76
166,Kedgwick,CA,2021-09-21 16:14:14,47.6446,-67.3434,65.93,54,82,10.74
167,Pacific Grove,US,2021-09-21 16:14:15,36.6177,-121.9166,76.57,60,0,1.01
168,Talnakh,RU,2021-09-21 16:14:15,69.4865,88.3972,30.54,87,17,1.7
169,Cayenne,GF,2021-09-21 16:14:15,4.9333,-52.3333,91.44,74,40,5.01
170,Piotrkow Trybunalski,PL,2021-09-21 16:14:16,51.4055,19.7032,54.1,66,100,10.29
171,Hobyo,SO,2021-09-21 16:14:16,5.3505,48.5268,78.42,75,99,24.7
172,Ponta Do Sol,PT,2021-09-21 16:14:16,32.6667,-17.1,79.12,48,72,1.52
173,Nova Olimpia,BR,2021-09-21 16:14:17,-14.7972,-57.2881,106.61,10,9,5.41
174,Tasiilaq,GL,2021-09-21 16:14:17,65.6145,-37.6368,30.67,56,100,4.97
175,Katobu,ID,2021-09-21 16:14:17,-4.9408,122.5276,73.17,93,100,3.65
176,Yeniseysk,RU,2021-09-21 16:14:18,58.4497,92.1703,37.15,97,100,8.48
177,Ribeira Grande,PT,2021-09-21 16:14:18,38.5167,-28.7,71.51,79,14,18.43
178,Kon Tum,VN,2021-09-21 16:14:18,14.35,108.0,69.49,98,79,1.74
179,Taksimo,RU,2021-09-21 16:14:19,56.3444,114.8794,51.3,93,98,1.7
180,Cidreira,BR,2021-09-21 16:14:19,-30.1811,-50.2056,62.22,74,100,18.9
181,Warstein,DE,2021-09-21 16:14:20,51.45,8.3667,60.46,68,100,4.14
182,Mehamn,NO,2021-09-21 16:14:20,71.0357,27.8492,43.86,64,21,20.33
183,Buraydah,SA,2021-09-21 16:12:15,26.326,43.975,89.49,11,0,11.25
184,Lavrentiya,RU,2021-09-21 16:14:20,65.5833,-171.0,31.17,66,92,6.8
185,Lengshuijiang,CN,2021-09-21 16:14:21,27.6881,111.4294,74.7,69,0,0.51
186,Macas,EC,2021-09-21 16:14:21,-2.3167,-78.1167,74.7,87,87,2.15
187,Leh,IN,2021-09-21 16:14:22,34.1667,77.5833,57.25,53,86,4.5
188,Vardo,NO,2021-09-21 16:14:22,70.3705,31.1107,44.01,65,8,25.26
189,Noumea,NC,2021-09-21 16:14:22,-22.2763,166.4572,64.38,76,8,4.81
190,Kudahuvadhoo,MV,2021-09-21 16:14:22,2.6708,72.8944,83.61,74,11,14.65
191,Oran,DZ,2021-09-21 16:14:23,35.6911,-0.6417,76.78,73,61,20.42
192,Los Llanos De Aridane,ES,2021-09-21 16:14:23,28.6585,-17.9182,71.13,78,13,8.66
193,Marco,US,2021-09-21 16:13:00,25.9726,-81.729,89.06,74,61,3.0
194,Caravelas,BR,2021-09-21 16:14:24,-17.7125,-39.2481,84.87,57,4,13.27
195,Campo Maior,BR,2021-09-21 16:14:24,-4.8278,-42.1686,103.17,22,16,3.85
196,Margate,GB,2021-09-21 16:14:24,51.3813,1.3862,68.86,53,33,7.43
197,San Luis,AR,2021-09-21 16:14:25,-33.295,-66.3356,66.47,36,8,7.27
198,Leningradskiy,RU,2021-09-21 16:14:25,69.3833,178.4167,22.82,91,100,13.31
199,Ancud,CL,2021-09-21 16:14:25,-41.8697,-73.8203,56.73,61,0,1.86
200,Ahipara,NZ,2021-09-21 16:14:26,-35.1667,173.1667,58.14,90,100,11.86
201,Puri,IN,2021-09-21 16:14:26,19.8,85.85,82.06,80,100,9.08
202,Nuuk,GL,2021-09-21 16:10:51,64.1835,-51.7216,34.23,57,100,3.24
203,Luderitz,NA,2021-09-21 16:14:27,-26.6481,15.1594,70.9,43,3,13.62
204,Mpulungu,ZM,2021-09-21 16:14:27,-8.7623,31.1141,82.56,42,45,1.57
205,Were Ilu,ET,2021-09-21 16:14:27,10.6,39.4333,55.15,63,9,6.98
206,Iralaya,HN,2021-09-21 16:14:28,15.0,-83.2333,83.25,76,12,8.25
207,Preobrazheniye,RU,2021-09-21 16:14:28,42.9019,133.9064,63.0,95,96,8.72
208,Jiaozuo,CN,2021-09-21 16:14:28,35.2397,113.2331,74.41,43,0,4.68
209,Khatanga,RU,2021-09-21 16:14:29,71.9667,102.5,30.79,94,100,9.46
210,Flin Flon,CA,2021-09-21 16:11:03,54.7682,-101.865,49.55,54,56,3.06
211,Ostashkov,RU,2021-09-21 16:14:29,57.1467,33.1075,36.91,98,100,7.94
212,Lagoa,PT,2021-09-21 16:14:30,39.05,-27.9833,70.48,77,23,18.16
213,Fairbanks,US,2021-09-21 16:14:30,64.8378,-147.7164,32.59,75,90,1.14
