City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
98,Chuy,UY,2021-09-23 01:16:26,-33.6971,-53.4616,53.73,83,100,6.58,overcast clouds
99,Torbay,CA,2021-09-23 01:15:05,47.6666,-52.7314,62.28,83,100,4.0,overcast clouds
100,Port Blair,IN,2021-09-23 01:16:26,11.6667,92.75,79.63,84,97,10.6,overcast clouds
101,Salalah,OM,2021-09-23 01:16:27,17.0151,54.0924,80.69,83,75,3.44,broken clouds
102,San Quintin,MX,2021-09-23 01:10:24,30.4833,-115.95,74.91,72,3,12.21,clear sky
103,At-Bashi,KG,2021-09-23 01:16:27,41.1702,75.8106,44.2,43,2,0.74,clear sky
104,Hun,LY,2021-09-23 01:16:27,29.1268,15.9477,82.0,18,0,8.14,clear sky
105,Bethel,US,2021-09-23 01:12:13,41.3712,-73.414,74.98,89,90,1.99,overcast clouds
106,Tiksi,RU,2021-09-23 01:16:28,71.6872,128.8694,39.74,67,100,3.78,overcast clouds
107,Hofn,IS,2021-09-23 01:16:28,64.2539,-15.2082,40.68,59,0,11.23,clear sky
108,Sidi Ali,DZ,2021-09-23 01:16:29,36.0998,0.4206,71.26,76,0,4.83,clear sky
109,Ipixuna,BR,2021-09-23 01:16:29,-1.7625,-48.8043,78.75,86,12,7.07,few clouds
110,Gore,NZ,2021-09-23 01:16:29,-46.1028,168.9436,57.22,44,100,4.43,overcast clouds
111,Gwanda,ZW,2021-09-23 01:16:30,-20.9333,29.0,52.36,90,5,6.58,clear sky
112,Cape Town,ZA,2021-09-23 01:15:15,-33.9258,18.4232,57.88,65,0,3.0,clear sky
113,Deputatskiy,RU,2021-09-23 01:10:19,69.3,139.9,35.64,69,100,1.57,overcast clouds
114,Talnakh,RU,2021-09-23 01:16:30,69.4865,88.3972,31.78,82,53,5.37,broken clouds
115,Otrado-Kubanskoye,RU,2021-09-23 01:16:31,45.2442,40.8408,52.5,76,100,5.1,overcast clouds
116,Belmonte,BR,2021-09-23 01:11:35,-15.8631,-38.8828,73.9,75,93,15.3,overcast clouds
117,Yellowknife,CA,2021-09-23 01:14:10,62.456,-114.3525,51.24,78,100,4.83,overcast clouds
118,Hailun,CN,2021-09-23 01:16:31,47.45,126.9333,57.15,66,5,5.88,clear sky
119,Ahipara,NZ,2021-09-23 01:16:32,-35.1667,173.1667,57.72,86,83,16.37,broken clouds
120,Saldanha,ZA,2021-09-23 01:16:32,-33.0117,17.9442,59.74,65,0,9.1,clear sky
121,Provideniya,RU,2021-09-23 01:16:33,64.3833,-173.3,39.31,48,40,6.71,scattered clouds
122,Qaanaaq,GL,2021-09-23 01:16:33,77.484,-69.3632,11.5,57,7,7.83,clear sky
123,Lubao,PH,2021-09-23 01:16:33,14.9167,120.55,89.15,77,100,3.11,overcast clouds
124,Belyy Yar,RU,2021-09-23 01:10:11,53.6039,91.3903,40.89,75,0,4.47,clear sky
125,Waipawa,NZ,2021-09-23 01:16:34,-41.4122,175.5153,61.93,73,100,9.1,overcast clouds
126,Souillac,MU,2021-09-23 01:16:34,-20.5167,57.5167,70.18,78,75,10.36,broken clouds
127,Kulu,TR,2021-09-23 01:16:34,39.0951,33.0799,57.29,47,100,4.68,overcast clouds
128,Leningradskiy,RU,2021-09-23 01:16:35,69.3833,178.4167,27.21,69,100,3.44,overcast clouds
129,Hervey Bay,AU,2021-09-23 01:16:35,-25.2986,152.8535,76.03,61,49,10.42,scattered clouds
130,Victoria,HK,2021-09-23 01:15:05,22.2855,114.1577,86.32,80,98,1.01,light rain
131,Hithadhoo,MV,2021-09-23 01:16:35,-0.6,73.0833,83.26,73,98,16.04,overcast clouds
132,Asasa,ET,2021-09-23 01:16:36,7.1,39.2,52.79,89,46,1.45,scattered clouds
133,Longyearbyen,SJ,2021-09-23 01:16:36,78.2186,15.6401,46.24,71,75,11.5,light intensity drizzle
134,Antibes,FR,2021-09-23 01:16:36,43.5624,7.1278,70.11,80,0,8.05,clear sky
135,Northam,GB,2021-09-23 01:16:37,51.0333,-4.2167,60.62,86,55,7.7,broken clouds
136,San Patricio,US,2021-09-23 01:16:37,28.017,-97.5169,81.84,33,6,7.27,clear sky
137,Lasa,IT,2021-09-23 01:06:47,46.6166,10.7002,48.61,58,9,1.86,clear sky
138,Toowoomba,AU,2021-09-23 01:16:38,-27.55,151.9667,66.25,36,0,2.84,clear sky
139,Bonavista,CA,2021-09-23 01:16:38,48.6499,-53.1147,63.12,79,85,9.57,overcast clouds
140,Teya,RU,2021-09-23 01:16:38,60.3778,92.6267,31.5,91,100,7.76,overcast clouds
141,Ostersund,SE,2021-09-23 01:16:39,63.1792,14.6357,43.25,100,90,0.0,light rain
142,Hilo,US,2021-09-23 01:06:23,19.7297,-155.09,82.13,70,1,4.61,clear sky
143,Djibo,BF,2021-09-23 01:16:39,14.1022,-1.6306,82.44,59,100,18.68,overcast clouds
144,Mehran,IR,2021-09-23 01:16:40,33.1222,46.1646,72.88,17,0,5.37,clear sky
145,Newport,GB,2021-09-23 01:14:31,51.5877,-2.9984,61.34,93,89,7.38,overcast clouds
146,Tchibanga,GA,2021-09-23 01:16:40,-2.85,11.0333,71.4,94,100,4.23,overcast clouds
147,Fredericksburg,US,2021-09-23 01:16:40,38.3032,-77.4605,75.42,86,90,1.01,overcast clouds
148,Georgetown,MY,2021-09-23 01:14:25,5.4112,100.3354,83.89,73,20,0.0,few clouds
149,Primorsko-Akhtarsk,RU,2021-09-23 01:16:41,46.0497,38.1747,54.45,70,100,3.2,light rain
150,Luderitz,NA,2021-09-23 01:16:41,-26.6481,15.1594,55.45,90,2,1.57,clear sky
151,Chokurdakh,RU,2021-09-23 01:16:42,70.6333,147.9167,32.58,64,100,3.18,overcast clouds
152,Pangnirtung,CA,2021-09-23 01:13:10,66.1451,-65.7125,30.38,63,13,2.1,few clouds
153,Cherskiy,RU,2021-09-23 01:16:42,68.75,161.3,32.86,84,100,7.31,light snow
154,Rafai,CF,2021-09-23 01:16:42,4.95,23.9167,67.57,98,98,0.07,light rain
155,Sao Joao Da Barra,BR,2021-09-23 01:12:18,-21.6403,-41.0511,66.9,59,0,16.28,clear sky
156,Kuito,AO,2021-09-23 01:16:43,-12.3833,16.9333,62.96,26,100,4.05,overcast clouds
157,Porbandar,IN,2021-09-23 01:16:43,21.6422,69.6093,79.88,81,27,9.53,scattered clouds
158,Dikson,RU,2021-09-23 01:16:44,73.5069,80.5464,34.95,95,100,8.61,overcast clouds
159,Mazagao,BR,2021-09-23 01:16:44,-0.115,-51.2894,86.05,81,40,6.24,scattered clouds
160,Onega,RU,2021-09-23 01:16:44,63.9061,38.1404,35.6,93,18,7.27,few clouds
161,Southbridge,US,2021-09-23 01:16:45,42.0751,-72.0334,71.92,98,100,1.99,overcast clouds
162,Cockburn Town,TC,2021-09-23 01:16:45,21.4612,-71.1419,82.87,77,100,11.27,overcast clouds
163,Mwene-Ditu,CD,2021-09-23 01:16:45,-7.0,23.45,71.85,58,70,1.9,broken clouds
164,East London,ZA,2021-09-23 01:16:46,-33.0153,27.9116,60.73,76,100,18.7,overcast clouds
165,Qasigiannguit,GL,2021-09-23 01:10:45,68.8193,-51.1922,12.0,86,9,5.23,clear sky
166,Kabalo,CD,2021-09-23 01:16:46,-6.05,26.9167,78.94,55,98,3.31,overcast clouds
167,Tasiilaq,GL,2021-09-23 01:16:46,65.6145,-37.6368,32.16,70,48,6.35,scattered clouds
168,Padre Bernardo,BR,2021-09-23 01:16:47,-15.35,-48.5,87.17,19,91,1.57,overcast clouds
