City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Ponta Do Sol,PT,70.72,overcast clouds,32.6667,-17.1,Hotel do Campo
87,Riverton,US,76.15,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
89,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
92,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
94,Yulara,AU,66.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
96,Bengkulu,ID,76.87,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
97,Caravelas,BR,73.15,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
100,Port Blair,IN,79.63,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
102,San Quintin,MX,74.91,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
105,Bethel,US,74.98,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
109,Ipixuna,BR,78.75,few clouds,-1.7625,-48.8043,Casa da Oscarina
116,Belmonte,BR,73.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
126,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
129,Hervey Bay,AU,76.03,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
134,Antibes,FR,70.11,clear sky,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
138,Toowoomba,AU,66.25,clear sky,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
144,Mehran,IR,72.88,clear sky,33.1222,46.1646,بوتیک زنانه بهار
147,Fredericksburg,US,75.42,overcast clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
155,Sao Joao Da Barra,BR,66.9,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
157,Porbandar,IN,79.88,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
161,Southbridge,US,71.92,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
163,Mwene-Ditu,CD,71.85,broken clouds,-7.0,23.45,Hôtel Kamas
173,Guerrero Negro,MX,77.31,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
174,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
176,Bartlesville,US,71.31,clear sky,36.7473,-95.9808,Hilton Garden Inn Bartlesville
179,Ondjiva,AO,71.62,overcast clouds,-17.0667,15.7333,SOS Motel
183,Frutal,BR,74.07,clear sky,-20.0247,-48.9406,Hotel Recanto Dos Ipês
186,Abashiri,JP,73.69,broken clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
187,Bandarbeyla,SO,77.63,scattered clouds,9.4942,50.8122,JABIR HOTEL
192,Lagoa,PT,69.57,clear sky,39.05,-27.9833,Casa Das Faias
197,Kamaishi,JP,72.55,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
199,Cueramaro,MX,69.22,broken clouds,20.6167,-101.7167,Aguprieta sonora
211,Saint-Pierre,RE,67.64,few clouds,-21.3393,55.4781,Lindsey Hôtel
222,Grand Forks,US,66.78,few clouds,47.9417,-97.4337,Warrior Inn
232,Quelimane,MZ,69.12,light rain,-17.8786,36.8883,Hotel Flamingo
238,Amboasary,MG,70.27,light rain,-25.0333,46.3833,DISCOVERY AMBOASARY
240,Hambantota,LK,79.93,clear sky,6.1241,81.1185,Bungalow 63
241,Otukpo,NG,71.19,overcast clouds,7.1913,8.1329,Queen s Hotel
247,Boyuibe,BO,67.53,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
252,Lake Charles,US,71.6,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
254,Nemuro,JP,73.83,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
256,Charters Towers,AU,73.26,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
257,Westport,US,76.24,overcast clouds,41.1415,-73.3579,The Westport Inn
259,Pansemal,IN,74.05,broken clouds,21.65,74.7,जय अम्बे टी स्टाल निवाली रोड पानसेमल
262,Cao Bang,VN,78.13,few clouds,22.6667,106.25,khách sạn 88
263,Alcacer Do Sal,PT,66.02,moderate rain,38.3733,-8.5144,Hotel Ordem de Santiago
281,Ballina,AU,73.58,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
291,San Javier,ES,73.24,scattered clouds,37.8063,-0.8374,Hotel Mar Menor
294,Batemans Bay,AU,69.98,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
298,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
300,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
303,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
304,Cuamba,MZ,65.97,clear sky,-14.8031,36.5372,Hotel Vision
309,Kefalos,GR,71.82,clear sky,36.7453,26.9589,Kokalakis Hotel
310,Port Pirie,AU,71.69,clear sky,-33.1833,138.0167,John Pirie Motor Inn
313,Sao Filipe,CV,78.93,few clouds,14.8961,-24.4956,Hotel Xaguate
